,id,stationName,latitude,longitude,totalDocks
212,466,W 25 St & 6 Ave,40.74395411,-73.99144871,35
213,467,Dean St & 4 Ave,40.68312489,-73.97895137,34
214,468,Broadway & W 56 St,40.7652654,-73.98192338,49
215,469,Broadway & W 53 St,40.76344058,-73.98268129,57
216,470,W 20 St & 8 Ave,40.74345335,-74.00004031,37
217,471,Grand St & Havemeyer St,40.71286844,-73.95698119,31
218,472,E 32 St & Park Ave,40.7457121,-73.98194829,41
219,473,Rivington St & Chrystie St,40.72110063,-73.9919254,38
220,474,5 Ave & E 29 St,40.7451677,-73.98683077,47
221,476,E 31 St & 3 Ave,40.74394314,-73.97966069,47
222,477,W 41 St & 8 Ave,40.75640548,-73.9900262,59
223,478,11 Ave & W 41 St,40.76030096,-73.99884222,31
224,479,9 Ave & W 45 St,40.76019252,-73.9912551,31
225,480,W 53 St & 10 Ave,40.76669671,-73.99061728,27
226,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,25
227,482,W 15 St & 7 Ave,40.73935542,-73.99931783,39
228,483,E 12 St & 3 Ave,40.73223272,-73.98889957,35
229,484,W 44 St & 5 Ave,40.75500254,-73.98014437,44
230,485,W 37 St & 5 Ave,40.75038009,-73.98338988,39
231,486,Broadway & W 29 St,40.7462009,-73.98855723,39
232,487,E 20 St & FDR Drive,40.73314259,-73.97573881,36
233,490,8 Ave & W 33 St,40.751551,-73.993934,59
234,491,E 24 St & Park Ave S,40.74096374,-73.98602213,53
235,492,W 33 St & 7 Ave,40.75019995,-73.99093085,61
236,494,W 26 St & 8 Ave,40.74734825,-73.99723551,35
237,495,W 47 St & 10 Ave,40.76269882,-73.99301222,25
238,496,E 16 St & 5 Ave,40.73726186,-73.99238967,47
239,497,E 17 St & Broadway,40.73704984,-73.99009296,59
240,498,Broadway & W 32 St,40.74854862,-73.98808416,30
241,499,Broadway & W 60 St,40.76915505,-73.98191841,36
242,500,Broadway & W 51 St,40.76228826,-73.98336183,52
243,501,FDR Drive & E 35 St,40.744219,-73.97121214,43
244,502,Henry St & Grand St,40.714215,-73.981346,30
245,503,E 20 St & Park Ave,40.73827428,-73.98751968,29
246,504,1 Ave & E 16 St,40.73221853,-73.98165557,45
247,505,6 Ave & W 33 St,40.74901271,-73.98848395,36
248,507,E 25 St & 2 Ave,40.73912601,-73.97973776,45
249,508,W 46 St & 11 Ave,40.76341379,-73.99667444,24
250,509,9 Ave & W 22 St,40.7454973,-74.00197139,36
251,513,W 56 St & 10 Ave,40.768254,-73.988639,27
252,514,12 Ave & W 40 St,40.76087502,-74.00277668,52
253,515,W 43 St & 10 Ave,40.76009437,-73.99461843,35
254,516,E 47 St & 1 Ave,40.75206862,-73.96784384,31
255,517,Pershing Square South,40.751581,-73.97791,59
256,518,E 39 St & 2 Ave,40.74780373,-73.9734419,39
257,519,Pershing Square North,40.751873,-73.977706,61
258,520,W 52 St & 5 Ave,40.75992262,-73.97648516,39
259,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,51
260,523,W 38 St & 8 Ave,40.75466591,-73.99138152,51
261,524,W 43 St & 6 Ave,40.75527307,-73.98316936,55
262,525,W 34 St & 11 Ave,40.75594159,-74.0021163,39
263,526,E 33 St & 5 Ave,40.74765947,-73.98490707,39
264,527,E 33 St & 2 Ave,40.744023,-73.976056,59
265,528,2 Ave & E 31 St,40.74290902,-73.97706058,39
266,529,W 42 St & 8 Ave,40.7575699,-73.99098507,41
267,530,11 Ave & W 59 St,40.771522,-73.990541,24
268,531,Forsyth St & Broome St,40.71893904,-73.99266288,39
269,532,S 5 Pl & S 4 St,40.710451,-73.960876,43
270,533,Broadway & W 38 St,40.75299641,-73.98721619,46
271,534,Water - Whitehall Plaza,40.70255065,-74.0127234,31
272,536,1 Ave & E 30 St,40.74144387,-73.97536082,29
273,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,39
274,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,31
275,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,30
276,545,E 23 St & 1 Ave,40.736502,-73.97809472,27
277,546,E 30 St & Park Ave S,40.74444921,-73.98303529,38
278,2000,Front St & Washington St,40.70255088,-73.98940236,30
279,2001,Sands St & Navy St,40.699773,-73.979927,15
280,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,27
281,2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,39
282,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,12
283,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,49
284,2008,Little West St & 1 Pl,40.70569254,-74.01677685,24
285,2009,Catherine St & Monroe St,40.71117444,-73.99682619,35
286,2010,Grand St & Greene St,40.72165481,-74.00234737,39
287,2012,E 27 St & 1 Ave,40.739445,-73.976806,36
288,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,43
289,2022,E 60 St & York Ave,40.759107,-73.959223,33
290,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,36
291,3002,South End Ave & Liberty St,40.711512,-74.015756,25
292,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,47
293,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,24
294,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,19
